nmfreq,tauO,cO,omegaO
5.0000000e+00,3.2847854e+00,1.9794596e-01,5.3080025e+00
5.1000000e+00,3.3236942e+00,1.9481002e-01,5.4040265e+00
5.2000000e+00,3.3629093e+00,1.9176468e-01,5.5001329e+00
5.3000000e+00,3.4024143e+00,1.8880636e-01,5.5963185e+00
5.4000000e+00,3.4421328e+00,1.8593247e-01,5.6925839e+00
5.5000000e+00,3.4821118e+00,1.8313882e-01,5.7889235e+00
5.6000000e+00,3.5223257e+00,1.8042262e-01,5.8853419e+00
5.7000000e+00,3.5627900e+00,1.7778047e-01,5.9818281e+00
5.8000000e+00,3.6033227e+00,1.7521167e-01,6.0783854e+00
5.9000000e+00,3.6442676e+00,1.7270927e-01,6.1750141e+00
6.0000000e+00,3.6852513e+00,1.7027499e-01,6.2717086e+00
6.1000000e+00,3.7265087e+00,1.6790364e-01,6.3684653e+00
6.2000000e+00,3.7680906e+00,1.6559227e-01,6.4652893e+00
6.3000000e+00,3.8096133e+00,1.6334263e-01,6.5621689e+00
6.4000000e+00,3.8514951e+00,1.6114818e-01,6.6591155e+00
6.5000000e+00,3.8936125e+00,1.5900815e-01,6.7561169e+00
6.6000000e+00,3.9357980e+00,1.5692215e-01,6.8531740e+00
6.7000000e+00,3.9782710e+00,1.5488620e-01,6.9502881e+00
6.8000000e+00,4.0209866e+00,1.5289893e-01,7.0474618e+00
6.9000000e+00,4.0637871e+00,1.5096008e-01,7.1446850e+00
7.0000000e+00,4.1068022e+00,1.4906680e-01,7.2419597e+00
7.1000000e+00,4.1499952e+00,1.4721785e-01,7.3392837e+00
7.2000000e+00,4.1933114e+00,1.4541215e-01,7.4366589e+00
7.3000000e+00,4.2368831e+00,1.4364723e-01,7.5340794e+00
7.4000000e+00,4.2805294e+00,1.4192303e-01,7.6315466e+00
7.5000000e+00,4.3244552e+00,1.4023678e-01,7.7290558e+00
7.6000000e+00,4.3685715e+00,1.3858780e-01,7.8266080e+00
7.7000000e+00,4.4129716e+00,1.3697430e-01,7.9242037e+00
7.8000000e+00,4.4575995e+00,1.3539550e-01,8.0218338e+00
7.9000000e+00,4.5025122e+00,1.3385001e-01,8.1195101e+00
8.0000000e+00,4.5477534e+00,1.3233640e-01,8.2172119e+00
8.1000000e+00,4.5931301e+00,1.3085512e-01,8.3149649e+00
8.2000000e+00,4.6387372e+00,1.2940449e-01,8.4127543e+00
8.3000000e+00,4.6849733e+00,1.2798103e-01,8.5105658e+00
8.4000000e+00,4.7311278e+00,1.2658846e-01,8.6084267e+00
8.5000000e+00,4.7779085e+00,1.2522151e-01,8.7063110e+00
8.6000000e+00,4.8246231e+00,1.2388361e-01,8.8042404e+00
8.7000000e+00,4.8718912e+00,1.2257029e-01,8.9021968e+00
8.8000000e+00,4.9191657e+00,1.2128393e-01,9.0001926e+00
8.9000000e+00,4.9668374e+00,1.2002163e-01,9.0982188e+00
9.0000000e+00,5.0146574e+00,1.1878405e-01,9.1962775e+00
9.1000000e+00,5.0627801e+00,1.1756968e-01,9.2943666e+00
9.2000000e+00,5.1111846e+00,1.1637797e-01,9.3924862e+00
9.3000000e+00,5.1598799e+00,1.1520830e-01,9.4906347e+00
9.4000000e+00,5.2089020e+00,1.1405983e-01,9.5888063e+00
9.5000000e+00,5.2582815e+00,1.1293193e-01,9.6870119e+00
9.6000000e+00,5.3081508e+00,1.1182336e-01,9.7852292e+00
9.7000000e+00,5.3582396e+00,1.1073497e-01,9.8834918e+00
9.8000000e+00,5.4092265e+00,1.0966301e-01,9.9817570e+00
9.9000000e+00,5.4598787e+00,1.0861293e-01,1.0080069e+01
1.0000000e+01,5.5119696e+00,1.0757596e-01,1.0178385e+01
1.0100000e+01,5.5633282e+00,1.0656164e-01,1.0276750e+01
1.0200000e+01,5.6150247e+00,1.0556455e-01,1.0375139e+01
1.0300000e+01,5.6682596e+00,1.0457921e-01,1.0473535e+01
1.0400000e+01,5.7206321e+00,1.0361543e-01,1.0571977e+01
1.0500000e+01,5.7742928e+00,1.0266388e-01,1.0670434e+01
1.0600000e+01,5.8272818e+00,1.0173206e-01,1.0768925e+01
1.0700000e+01,5.8810763e+00,1.0081379e-01,1.0867441e+01
1.0800000e+01,5.9346433e+00,9.9912523e-02,1.0965982e+01
1.0900000e+01,5.9885509e+00,9.9025888e-02,1.1064554e+01
1.1000000e+01,6.0426464e+00,9.8153896e-02,1.1163143e+01
1.1100000e+01,6.0968916e+00,9.7296487e-02,1.1261759e+01
1.1200000e+01,6.1514904e+00,9.6452483e-02,1.1360392e+01
1.1300000e+01,6.2064086e+00,9.5621727e-02,1.1459050e+01
1.1400000e+01,6.2616576e+00,9.4803905e-02,1.1557722e+01
1.1500000e+01,6.3171078e+00,9.3999155e-02,1.1656423e+01
1.1600000e+01,6.3736046e+00,9.3204331e-02,1.1755127e+01
1.1700000e+01,6.4294535e+00,9.2424946e-02,1.1853870e+01
1.1800000e+01,6.4872776e+00,9.1651990e-02,1.1952607e+01
1.1900000e+01,6.5436651e+00,9.0896390e-02,1.2051393e+01
1.2000000e+01,6.6024288e+00,9.0145747e-02,1.2150173e+01
1.2100000e+01,6.6593368e+00,8.9412955e-02,1.2249001e+01
1.2200000e+01,6.7162339e+00,8.8692019e-02,1.2347847e+01
1.2300000e+01,6.7753978e+00,8.7976050e-02,1.2446702e+01
1.2400000e+01,6.8326448e+00,8.7276925e-02,1.2545589e+01
1.2500000e+01,6.8913466e+00,8.6584905e-02,1.2644501e+01
1.2600000e+01,6.9487278e+00,8.5907238e-02,1.2743426e+01
1.2700000e+01,7.0064611e+00,8.5239386e-02,1.2842390e+01
1.2800000e+01,7.0640365e+00,8.4581969e-02,1.2941355e+01
1.2900000e+01,7.1210367e+00,8.3936373e-02,1.3040361e+01
1.3000000e+01,7.1787171e+00,8.3298526e-02,1.3139364e+01
1.3100000e+01,7.2356277e+00,8.2672417e-02,1.3238397e+01
1.3200000e+01,7.2933480e+00,8.2053461e-02,1.3337434e+01
1.3300000e+01,7.3511244e+00,8.1443559e-02,1.3436488e+01
1.3400000e+01,7.4089997e+00,8.0842392e-02,1.3535559e+01
1.3500000e+01,7.4668184e+00,8.0250203e-02,1.3634645e+01
1.3600000e+01,7.5257910e+00,7.9663883e-02,1.3733733e+01
1.3700000e+01,7.5836896e+00,7.9088617e-02,1.3832850e+01
1.3800000e+01,7.6441980e+00,7.8515591e-02,1.3931963e+01
1.3900000e+01,7.7022224e+00,7.7956474e-02,1.4031111e+01
1.4000000e+01,7.7631948e+00,7.7398869e-02,1.4130257e+01
1.4100000e+01,7.8211953e+00,7.6855595e-02,1.4229435e+01
1.4200000e+01,7.8790940e+00,7.6320154e-02,1.4328628e+01
1.4300000e+01,7.9394219e+00,7.5787302e-02,1.4427832e+01
1.4400000e+01,7.9972612e+00,7.5266769e-02,1.4527054e+01
1.4500000e+01,8.0560104e+00,7.4751943e-02,1.4626305e+01
1.4600000e+01,8.1135032e+00,7.4246280e-02,1.4725553e+01
1.4700000e+01,8.1703312e+00,7.3749220e-02,1.4824843e+01
1.4800000e+01,8.2276405e+00,7.3257402e-02,1.4924119e+01
1.4900000e+01,8.2829898e+00,7.2776302e-02,1.5023438e+01
1.5000000e+01,8.3399442e+00,7.2298077e-02,1.5122736e+01
1.5100000e+01,8.3948666e+00,7.1830158e-02,1.5222070e+01
1.5200000e+01,8.4516665e+00,7.1364572e-02,1.5321391e+01
1.5300000e+01,8.5083518e+00,7.0905217e-02,1.5420724e+01
1.5400000e+01,8.5640484e+00,7.0453590e-02,1.5520076e+01
1.5500000e+01,8.6205690e+00,7.0006187e-02,1.5619429e+01
1.5600000e+01,8.6778024e+00,6.9563196e-02,1.5718787e+01
1.5700000e+01,8.7340932e+00,6.9127450e-02,1.5818160e+01
1.5800000e+01,8.7929500e+00,6.8692792e-02,1.5917531e+01
1.5900000e+01,8.8490601e+00,6.8268219e-02,1.6016925e+01
1.6000000e+01,8.9085247e+00,6.7843482e-02,1.6116318e+01
1.6100000e+01,8.9644005e+00,6.7429774e-02,1.6215731e+01
1.6200000e+01,9.0232929e+00,6.7016545e-02,1.6315158e+01
1.6300000e+01,9.0788530e+00,6.6613406e-02,1.6414590e+01
1.6400000e+01,9.1343175e+00,6.6215265e-02,1.6514030e+01
1.6500000e+01,9.1909925e+00,6.5820466e-02,1.6613500e+01
1.6600000e+01,9.2460670e+00,6.5432383e-02,1.6712958e+01
1.6700000e+01,9.3001757e+00,6.5050830e-02,1.6812457e+01
1.6800000e+01,9.3549347e+00,6.4672255e-02,1.6911932e+01
1.6900000e+01,9.4068016e+00,6.4302794e-02,1.7011449e+01
1.7000000e+01,9.4612403e+00,6.3933352e-02,1.7110939e+01
1.7100000e+01,9.5122420e+00,6.3573379e-02,1.7210465e+01
1.7200000e+01,9.5663186e+00,6.3212803e-02,1.7309969e+01
1.7300000e+01,9.6203024e+00,6.2856432e-02,1.7409480e+01
1.7400000e+01,9.6718665e+00,6.2507542e-02,1.7509013e+01
1.7500000e+01,9.7254692e+00,6.2159635e-02,1.7608537e+01
1.7600000e+01,9.7789164e+00,6.1815794e-02,1.7708068e+01
1.7700000e+01,9.8323309e+00,6.1475808e-02,1.7807605e+01
1.7800000e+01,9.8878336e+00,6.1136815e-02,1.7907140e+01
1.7900000e+01,9.9410892e+00,6.0804479e-02,1.8006690e+01
1.8000000e+01,9.9978617e+00,6.0471364e-02,1.8106239e+01
1.8100000e+01,1.0050889e+01,6.0146541e-02,1.8205800e+01
1.8200000e+01,1.0107436e+01,5.9821084e-02,1.8305372e+01
1.8300000e+01,1.0160198e+01,5.9503565e-02,1.8404945e+01
1.8400000e+01,1.0212776e+01,5.9189654e-02,1.8504524e+01
1.8500000e+01,1.0267246e+01,5.8877195e-02,1.8604127e+01
1.8600000e+01,1.0319544e+01,5.8570207e-02,1.8703718e+01
1.8700000e+01,1.0371068e+01,5.8267860e-02,1.8803344e+01
1.8800000e+01,1.0423001e+01,5.7967635e-02,1.8902945e+01
1.8900000e+01,1.0471870e+01,5.7674513e-02,1.9002587e+01
1.9000000e+01,1.0523474e+01,5.7380752e-02,1.9102197e+01
1.9100000e+01,1.0570764e+01,5.7095203e-02,1.9201845e+01
1.9200000e+01,1.0622068e+01,5.6807655e-02,1.9301465e+01
1.9300000e+01,1.0673187e+01,5.6523218e-02,1.9401089e+01
1.9400000e+01,1.0720584e+01,5.6245845e-02,1.9500739e+01
1.9500000e+01,1.0771502e+01,5.5967217e-02,1.9600372e+01
1.9600000e+01,1.0820635e+01,5.5693296e-02,1.9700016e+01
1.9700000e+01,1.0871334e+01,5.5420362e-02,1.9799657e+01
1.9800000e+01,1.0922953e+01,5.5149130e-02,1.9899300e+01
1.9900000e+01,1.0973525e+01,5.4881638e-02,1.9998949e+01
2.0000000e+01,1.1027124e+01,5.4613718e-02,2.0098597e+01
2.0100000e+01,1.1077513e+01,5.4351594e-02,2.0198255e+01
2.0200000e+01,1.1131747e+01,5.4088347e-02,2.0297917e+01
2.0300000e+01,1.1181910e+01,5.3831482e-02,2.0397583e+01
2.0400000e+01,1.1231916e+01,5.3577212e-02,2.0497251e+01
2.0500000e+01,1.1284729e+01,5.3322992e-02,2.0596937e+01
2.0600000e+01,1.1334509e+01,5.3073728e-02,2.0696614e+01
2.0700000e+01,1.1384649e+01,5.2826920e-02,2.0796320e+01
2.0800000e+01,1.1434084e+01,5.2582613e-02,2.0896003e+01
2.0900000e+01,1.1481153e+01,5.2343223e-02,2.0995724e+01
2.1000000e+01,1.1530274e+01,5.2103665e-02,2.1095414e+01
2.1100000e+01,1.1574982e+01,5.1870686e-02,2.1195140e+01
2.1200000e+01,1.1623898e+01,5.1635609e-02,2.1294837e+01
2.1300000e+01,1.1672661e+01,5.1402802e-02,2.1394536e+01
2.1400000e+01,1.1716567e+01,5.1176606e-02,2.1494264e+01
2.1500000e+01,1.1765133e+01,5.0948089e-02,2.1593969e+01
2.1600000e+01,1.1810221e+01,5.0724707e-02,2.1693690e+01
2.1700000e+01,1.1858627e+01,5.0500342e-02,2.1793402e+01
2.1800000e+01,1.1906162e+01,5.0278711e-02,2.1893117e+01
2.1900000e+01,1.1954424e+01,5.0058398e-02,2.1992834e+01
2.2000000e+01,1.2004659e+01,4.9838387e-02,2.2092550e+01
2.2100000e+01,1.2052804e+01,4.9622018e-02,2.2192272e+01
2.2200000e+01,1.2104641e+01,4.9404633e-02,2.2291996e+01
2.2300000e+01,1.2152604e+01,4.9192173e-02,2.2391724e+01
2.2400000e+01,1.2200521e+01,4.8981567e-02,2.2491454e+01
2.2500000e+01,1.2252071e+01,4.8770150e-02,2.2591194e+01
2.2600000e+01,1.2299798e+01,4.8563297e-02,2.2690930e+01
2.2700000e+01,1.2349325e+01,4.8357187e-02,2.2790687e+01
2.2800000e+01,1.2396792e+01,4.8154033e-02,2.2890427e+01
2.2900000e+01,1.2443255e+01,4.7953777e-02,2.2990198e+01
2.3000000e+01,1.2490474e+01,4.7754186e-02,2.3089943e+01
2.3100000e+01,1.2533938e+01,4.7559457e-02,2.3189722e+01
2.3200000e+01,1.2580914e+01,4.7363313e-02,2.3289471e+01
2.3300000e+01,1.2622637e+01,4.7172926e-02,2.3389251e+01
2.3400000e+01,1.2669368e+01,4.6980136e-02,2.3489004e+01
2.3500000e+01,1.2716067e+01,4.6788933e-02,2.3588760e+01
2.3600000e+01,1.2757835e+01,4.6602957e-02,2.3688536e+01
2.3700000e+01,1.2804345e+01,4.6414944e-02,2.3788296e+01
2.3800000e+01,1.2847996e+01,4.6230496e-02,2.3888066e+01
2.3900000e+01,1.2894391e+01,4.6045552e-02,2.3987830e+01
2.4000000e+01,1.2940905e+01,4.5862007e-02,2.4087595e+01
2.4100000e+01,1.2987216e+01,4.5680054e-02,2.4187364e+01
2.4200000e+01,1.3036254e+01,4.5497747e-02,2.4287132e+01
2.4300000e+01,1.3082428e+01,4.5318774e-02,2.4386904e+01
2.4400000e+01,1.3128538e+01,4.5141247e-02,2.4486677e+01
2.4500000e+01,1.3178670e+01,4.4962606e-02,2.4586456e+01
2.4600000e+01,1.3224636e+01,4.4787960e-02,2.4686234e+01
2.4700000e+01,1.3273870e+01,4.4612822e-02,2.4786026e+01
2.4800000e+01,1.3319711e+01,4.4440962e-02,2.4885807e+01
2.4900000e+01,1.3366400e+01,4.4270244e-02,2.4985612e+01
2.5000000e+01,1.3412057e+01,4.4101131e-02,2.5085397e+01
2.5250000e+01,1.3511125e+01,4.3693351e-02,2.5334895e+01
2.5500000e+01,1.3632297e+01,4.3280133e-02,2.5584401e+01
2.5750000e+01,1.3748088e+01,4.2877194e-02,2.5833879e+01
2.6000000e+01,1.3845371e+01,4.2492924e-02,2.6083425e+01
2.6250000e+01,1.3970383e+01,4.2099613e-02,2.6332935e+01
2.6500000e+01,1.4073661e+01,4.1725103e-02,2.6582446e+01
2.6750000e+01,1.4182145e+01,4.1355271e-02,2.6832022e+01
2.7000000e+01,1.4302679e+01,4.0984572e-02,2.7081527e+01
2.7250000e+01,1.4397332e+01,4.0634593e-02,2.7331110e+01
2.7500000e+01,1.4519925e+01,4.0276186e-02,2.7580668e+01
2.7750000e+01,1.4626795e+01,3.9931579e-02,2.7830224e+01
2.8000000e+01,1.4723954e+01,3.9598210e-02,2.8079839e+01
2.8250000e+01,1.4847699e+01,3.9256995e-02,2.8329399e+01
2.8500000e+01,1.4943114e+01,3.8934995e-02,2.8578988e+01
2.8750000e+01,1.5056079e+01,3.8610617e-02,2.8828609e+01
2.9000000e+01,1.5168368e+01,3.8291074e-02,2.9078175e+01
2.9250000e+01,1.5263009e+01,3.7985447e-02,2.9327819e+01
2.9500000e+01,1.5385362e+01,3.7672060e-02,2.9577416e+01
2.9750000e+01,1.5483910e+01,3.7374044e-02,2.9827035e+01
3.0000000e+01,1.5584371e+01,3.7080408e-02,3.0076698e+01
3.0250000e+01,1.5703629e+01,3.6782827e-02,3.0326299e+01
3.0500000e+01,1.5793782e+01,3.6502207e-02,3.0575952e+01
3.0750000e+01,1.5910584e+01,3.6215279e-02,3.0825603e+01
3.1000000e+01,1.6013010e+01,3.5937931e-02,3.1075226e+01
3.1250000e+01,1.6110846e+01,3.5667308e-02,3.1324914e+01
3.1500000e+01,1.6229677e+01,3.5392113e-02,3.1574545e+01
3.1750000e+01,1.6321687e+01,3.5131439e-02,3.1824219e+01
3.2000000e+01,1.6427763e+01,3.4869702e-02,3.2073914e+01
3.2250000e+01,1.6540119e+01,3.4608865e-02,3.2323554e+01
3.2500000e+01,1.6629623e+01,3.4360569e-02,3.2573256e+01
3.2750000e+01,1.6748834e+01,3.4105212e-02,3.2822929e+01
3.3000000e+01,1.6842796e+01,3.3862074e-02,3.3072602e+01
3.3250000e+01,1.6946785e+01,3.3619517e-02,3.3322318e+01
3.3500000e+01,1.7059334e+01,3.3376917e-02,3.3571981e+01
3.3750000e+01,1.7148164e+01,3.3146024e-02,3.3821699e+01
3.4000000e+01,1.7260187e+01,3.2910868e-02,3.4071414e+01
3.4250000e+01,1.7363474e+01,3.2681261e-02,3.4321091e+01
3.4500000e+01,1.7456056e+01,3.2458756e-02,3.4570828e+01
3.4750000e+01,1.7573757e+01,3.2231119e-02,3.4820520e+01
3.5000000e+01,1.7661150e+01,3.2015893e-02,3.5070238e+01
3.5250000e+01,1.7771219e+01,3.1797029e-02,3.5319972e+01
3.5500000e+01,1.7874635e+01,3.1582575e-02,3.5569667e+01
3.5750000e+01,1.7963449e+01,3.1375744e-02,3.5819421e+01
3.6000000e+01,1.8079325e+01,3.1163713e-02,3.6069150e+01
3.6250000e+01,1.8173243e+01,3.0960388e-02,3.6318865e+01
3.6500000e+01,1.8271913e+01,3.0758866e-02,3.6568626e+01
3.6750000e+01,1.8384592e+01,3.0555643e-02,3.6818339e+01
3.7000000e+01,1.8469738e+01,3.0362752e-02,3.7068094e+01
3.7250000e+01,1.8584703e+01,3.0164403e-02,3.7317840e+01
3.7500000e+01,1.8683369e+01,2.9972654e-02,3.7567576e+01
3.7750000e+01,1.8772099e+01,2.9786179e-02,3.7817349e+01
3.8000000e+01,1.8888945e+01,2.9594643e-02,3.8067088e+01
3.8250000e+01,1.8976140e+01,2.9412894e-02,3.8316839e+01
3.8500000e+01,1.9082492e+01,2.9228947e-02,3.8566614e+01
3.8750000e+01,1.9187521e+01,2.9047164e-02,3.8816349e+01
3.9000000e+01,1.9275218e+01,2.8872149e-02,3.9066132e+01
3.9250000e+01,1.9391707e+01,2.8692244e-02,3.9315886e+01
3.9500000e+01,1.9483098e+01,2.8520357e-02,3.9565650e+01
3.9750000e+01,1.9578081e+01,2.8349959e-02,3.9815443e+01
4.0000000e+01,1.9691408e+01,2.8177078e-02,4.0065194e+01
4.0250000e+01,1.9775244e+01,2.8013013e-02,4.0314976e+01
4.0500000e+01,1.9887616e+01,2.7844658e-02,4.0564758e+01
4.0750000e+01,1.9983251e+01,2.7681635e-02,4.0814517e+01
4.1000000e+01,2.0076743e+01,2.7521343e-02,4.1064320e+01
4.1250000e+01,2.0189978e+01,2.7358409e-02,4.1314084e+01
4.1500000e+01,2.0275821e+01,2.7203222e-02,4.1563875e+01
4.1750000e+01,2.0378408e+01,2.7046504e-02,4.1813680e+01
4.2000000e+01,2.0484282e+01,2.6890549e-02,4.2063447e+01
4.2250000e+01,2.0569146e+01,2.6740857e-02,4.2313254e+01
4.2500000e+01,2.0684158e+01,2.6586768e-02,4.2563042e+01
4.2750000e+01,2.0771526e+01,2.6439699e-02,4.2812828e+01
4.3000000e+01,2.0872878e+01,2.6291838e-02,4.3062642e+01
4.3250000e+01,2.0979274e+01,2.6144324e-02,4.3312420e+01
4.3500000e+01,2.1063528e+01,2.6002845e-02,4.3562235e+01
4.3750000e+01,2.1173375e+01,2.5858173e-02,4.3812046e+01
4.4000000e+01,2.1270358e+01,2.5717167e-02,4.4061832e+01
4.4250000e+01,2.1360936e+01,2.5579148e-02,4.4311657e+01
4.4500000e+01,2.1474658e+01,2.5438254e-02,4.4561451e+01
4.4750000e+01,2.1557625e+01,2.5304349e-02,4.4811262e+01
4.5000000e+01,2.1666829e+01,2.5167424e-02,4.5061082e+01
4.5250000e+01,2.1764696e+01,2.5033642e-02,4.5310876e+01
4.5500000e+01,2.1851875e+01,2.4903365e-02,4.5560710e+01
4.5750000e+01,2.1966329e+01,2.4769765e-02,4.5810524e+01
4.6000000e+01,2.2055227e+01,2.4641661e-02,4.6060330e+01
4.6250000e+01,2.2154316e+01,2.4513460e-02,4.6310166e+01
4.6500000e+01,2.2262602e+01,2.4384834e-02,4.6559967e+01
4.6750000e+01,2.2345922e+01,2.4261686e-02,4.6809799e+01
4.7000000e+01,2.2460085e+01,2.4134907e-02,4.7059621e+01
4.7250000e+01,2.2549602e+01,2.4013120e-02,4.7309434e+01
4.7500000e+01,2.2642847e+01,2.3892237e-02,4.7559281e+01
4.7750000e+01,2.2757206e+01,2.3769164e-02,4.7809097e+01
4.8000000e+01,2.2840680e+01,2.3651972e-02,4.8058924e+01
4.8250000e+01,2.2948065e+01,2.3532530e-02,4.8308764e+01
4.8500000e+01,2.3047774e+01,2.3415173e-02,4.8558578e+01
4.8750000e+01,2.3135774e+01,2.3300890e-02,4.8808425e+01
4.9000000e+01,2.3250066e+01,2.3183828e-02,4.9058250e+01
4.9250000e+01,2.3333604e+01,2.3072256e-02,4.9308082e+01
4.9500000e+01,2.3434069e+01,2.2959565e-02,4.9557936e+01
4.9750000e+01,2.3543382e+01,2.2846520e-02,4.9807757e+01
5.0000000e+01,2.3625681e+01,2.2738374e-02,5.0057603e+01
