nmfreq,tauO,tauO,tauO,tauO,tauO,cO,cO,cO,cO,cO,omegaO,omegaO,omegaO,omegaO,omegaO
2.4761706e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.6807203e+00,4.4752585e-01,2.3617450e+00,2.2810938e+00,1.8333692e+00,1.6939344e+00,2.0928009e+00,3.4186255e+00,5.0812547e+00,6.8445866e+00,8.6446324e+00,1.0924204e+01
2.4837347e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.6751644e+00,4.4737845e-01,2.3598897e+00,2.2791501e+00,1.8311176e+00,1.6942008e+00,2.0909735e+00,3.4263214e+00,5.0887959e+00,6.8510712e+00,8.6498448e+00,1.0929943e+01
2.4962233e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.6656674e+00,4.4713175e-01,2.3569375e+00,2.2759795e+00,1.8273431e+00,1.6947077e+00,2.0877935e+00,3.4391052e+00,5.1014523e+00,6.8620471e+00,8.6587302e+00,1.0939835e+01
2.8737195e+00,9.8226948e+00,8.9297225e+00,8.1854662e+00,1.3395271e+00,4.3469051e-01,2.3349175e+00,2.2354407e+00,1.7243962e+00,1.6910218e+00,1.8572351e+00,3.8663010e+00,5.6255754e+00,7.4489652e+00,9.2780736e+00,1.1667750e+01
2.8790217e+00,9.8226948e+00,8.9297225e+00,8.1855293e+00,1.3448528e+00,4.3487082e-01,2.3342684e+00,2.2355340e+00,1.7249057e+00,1.6873074e+00,1.8550502e+00,3.8716058e+00,5.6320362e+00,7.4575558e+00,9.2894451e+00,1.1678558e+01
2.9017189e+00,9.8226948e+00,8.9297225e+00,8.1855408e+00,1.3731487e+00,4.3583129e-01,2.3309161e+00,2.2357319e+00,1.7275439e+00,1.6698323e+00,1.8476996e+00,3.8937524e+00,5.6583089e+00,7.4923787e+00,9.3356868e+00,1.1719941e+01
2.9054904e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.3785809e+00,4.3601778e-01,2.3302790e+00,2.2357333e+00,1.7280322e+00,1.6667569e+00,1.8467284e+00,3.8973556e+00,5.6624820e+00,7.4978869e+00,9.3430140e+00,1.1726172e+01
3.2643454e+00,9.8226948e+00,8.9297225e+00,8.1855788e+00,2.1907908e+00,4.5955280e-01,2.2209915e+00,2.1998090e+00,1.7536229e+00,1.4244134e+00,1.8431410e+00,4.2030231e+00,5.9453830e+00,7.8240890e+00,9.7374544e+00,1.1961483e+01
3.3116462e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.2545894e+00,4.6170481e-01,2.2038129e+00,2.1913146e+00,1.7513565e+00,1.4125692e+00,1.8411230e+00,4.2421798e+00,5.9758514e+00,7.8515174e+00,9.7641859e+00,1.1980421e+01
3.4275627e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.3323231e+00,4.6560068e-01,2.1619558e+00,2.1684667e+00,1.7419853e+00,1.3964232e+00,1.8336558e+00,4.3394295e+00,6.0500034e+00,7.9135805e+00,9.8203627e+00,1.2027606e+01
3.4666388e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.3390059e+00,4.6653030e-01,2.1481629e+00,2.1602650e+00,1.7378677e+00,1.3936942e+00,1.8306647e+00,4.3727793e+00,6.0753044e+00,7.9337378e+00,9.8375457e+00,1.2043753e+01
3.6471072e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,2.2893020e+00,4.6883664e-01,2.0885331e+00,2.1202062e+00,1.7139373e+00,1.3906083e+00,1.8147817e+00,4.5316292e+00,6.1978608e+00,8.0283852e+00,9.9141328e+00,1.2122050e+01
3.6723886e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.2766836e+00,4.6893500e-01,2.0808896e+00,2.1144073e+00,1.7100411e+00,1.3906931e+00,1.8124055e+00,4.5546063e+00,6.2161099e+00,8.0424239e+00,9.9252195e+00,1.2133581e+01
3.7142559e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.2535565e+00,4.6902260e-01,2.0686995e+00,2.1047490e+00,1.7033026e+00,1.3910198e+00,1.8082813e+00,4.5930864e+00,6.2470697e+00,8.0663334e+00,9.9440634e+00,1.2153324e+01
3.9614263e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.1022436e+00,4.6748109e-01,2.0115464e+00,2.0483973e+00,1.6565409e+00,1.3896568e+00,1.7793443e+00,4.8325859e+00,6.4549919e+00,8.2348198e+00,1.0079765e+01,1.2290787e+01
4.0210828e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.0656187e+00,4.6661347e-01,2.0023875e+00,2.0357598e+00,1.6434097e+00,1.3872577e+00,1.7702706e+00,4.8939389e+00,6.5136777e+00,8.2860351e+00,1.0122979e+01,1.2332977e+01
4.0232073e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.0647037e+00,4.6657884e-01,2.0021017e+00,2.0353283e+00,1.6429433e+00,1.3870757e+00,1.7699607e+00,4.8961522e+00,6.5158488e+00,8.2879821e+00,1.0124654e+01,1.2334514e+01
4.1128882e+00,9.8226948e+00,8.9297225e+00,8.1855788e+00,2.0093517e+00,4.6488245e-01,1.9924501e+00,2.0181024e+00,1.6219263e+00,1.3811772e+00,1.7531965e+00,4.9912719e+00,6.6124281e+00,8.3769736e+00,1.0202804e+01,1.2410319e+01
4.3853713e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,2.0417769e+00,4.6090931e-01,1.9796449e+00,1.9873611e+00,1.5722391e+00,1.3138207e+00,1.6869513e+00,5.2858787e+00,6.9444408e+00,8.7338743e+00,1.0564976e+01,1.2735670e+01
4.4783265e+00,9.8226948e+00,8.9297225e+00,8.1855787e+00,2.2293488e+00,4.6303324e-01,1.9678012e+00,1.9801802e+00,1.5683214e+00,1.2698031e+00,1.6746867e+00,5.3767054e+00,7.0413550e+00,8.8459155e+00,1.0690457e+01,1.2829089e+01
4.5071163e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.3026623e+00,4.6401615e-01,1.9628718e+00,1.9775573e+00,1.5676857e+00,1.2562989e+00,1.6723663e+00,5.4036485e+00,7.0683855e+00,8.8764286e+00,1.0724437e+01,1.2852526e+01
4.5700836e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.4731603e+00,4.6639131e-01,1.9504966e+00,1.9709993e+00,1.5663073e+00,1.2291805e+00,1.6686165e+00,5.4612387e+00,7.1236365e+00,8.9368882e+00,1.0790599e+01,1.2896878e+01
4.7390950e+00,9.8226948e+00,8.9297225e+00,8.1855784e+00,2.8529945e+00,4.7232916e-01,1.9106941e+00,1.9480841e+00,1.5587324e+00,1.1809356e+00,1.6606212e+00,5.6113410e+00,7.2551086e+00,9.0668200e+00,1.0922999e+01,1.2989688e+01
4.7982069e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.9198503e+00,4.7385197e-01,1.8958128e+00,1.9385490e+00,1.5542558e+00,1.1724773e+00,1.6572899e+00,5.6635760e+00,7.2981990e+00,9.1050021e+00,1.0958434e+01,1.3018485e+01
4.8965181e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.9513241e+00,4.7560730e-01,1.8712210e+00,1.9214039e+00,1.5448265e+00,1.1651759e+00,1.6511110e+00,5.7512326e+00,7.3693130e+00,9.1644804e+00,1.1010322e+01,1.3064920e+01
4.9760498e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.9188790e+00,4.7640772e-01,1.8521298e+00,1.9066551e+00,1.5355404e+00,1.1636215e+00,1.6454750e+00,5.8233444e+00,7.4277536e+00,9.2112689e+00,1.1048841e+01,1.3102616e+01
5.0814018e+00,9.8226948e+00,8.9297225e+00,8.1855785e+00,2.8280858e+00,4.7668900e-01,1.8288252e+00,1.8863393e+00,1.5211319e+00,1.1647757e+00,1.6373301e+00,5.9210998e+00,7.5083248e+00,9.2746120e+00,1.1098973e+01,1.3153833e+01
5.1059501e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.8018162e+00,4.7663561e-01,1.8238131e+00,1.8815290e+00,1.5174318e+00,1.1653579e+00,1.6352954e+00,5.9442987e+00,7.5278212e+00,9.2899327e+00,1.1110907e+01,1.3166196e+01
5.2806766e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.5917520e+00,4.7517852e-01,1.7940414e+00,1.8474321e+00,1.4873181e+00,1.1699743e+00,1.6186392e+00,6.1147173e+00,7.6776618e+00,9.4105159e+00,1.1204780e+01,1.3262602e+01
5.4114671e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.4115802e+00,4.7258403e-01,1.7800696e+00,1.8235289e+00,1.4597744e+00,1.1729937e+00,1.6015301e+00,6.2491816e+00,7.8068019e+00,9.5214191e+00,1.1293583e+01,1.3352350e+01
5.4524648e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,2.3497599e+00,4.7139649e-01,1.7774466e+00,1.8166972e+00,1.4501265e+00,1.1738203e+00,1.5947175e+00,6.2927109e+00,7.8512188e+00,9.5616384e+00,1.1326822e+01,1.3385814e+01
5.6295160e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,2.0326765e+00,4.6307774e-01,1.7771175e+00,1.7942560e+00,1.4036324e+00,1.1794445e+00,1.5484596e+00,6.4889537e+00,8.0707002e+00,9.7811655e+00,1.1523727e+01,1.3590636e+01
5.6591804e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.9712704e+00,4.6096462e-01,1.7786636e+00,1.7920309e+00,1.3956733e+00,1.1812963e+00,1.5365981e+00,6.5229473e+00,8.1119317e+00,9.8268014e+00,1.1568889e+01,1.3639987e+01
5.7284957e+00,9.8226948e+00,8.9297225e+00,8.1855784e+00,1.8333528e+00,4.5544829e-01,1.7825279e+00,1.7885651e+00,1.3791278e+00,1.1866444e+00,1.5036728e+00,6.6020567e+00,8.2097770e+00,9.9404612e+00,1.1689239e+01,1.3776422e+01
5.8419266e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.7081112e+00,4.4860426e-01,1.7813053e+00,1.7841158e+00,1.3638033e+00,1.1887511e+00,1.4512353e+00,6.7226975e+00,8.3522280e+00,1.0111942e+01,1.1889632e+01,1.4010768e+01
5.9055316e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.7015929e+00,4.4737224e-01,1.7747662e+00,1.7801164e+00,1.3601984e+00,1.1828378e+00,1.4320893e+00,6.7843481e+00,8.4170985e+00,1.0187022e+01,1.1979879e+01,1.4112105e+01
6.0316242e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.7436468e+00,4.4826054e-01,1.7545691e+00,1.7684992e+00,1.3553295e+00,1.1655462e+00,1.4113137e+00,6.9001045e+00,8.5264558e+00,1.0303041e+01,1.2112644e+01,1.4249205e+01
6.0317238e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.7436226e+00,4.4828106e-01,1.7545505e+00,1.7684897e+00,1.3553274e+00,1.1655615e+00,1.4112687e+00,6.9001922e+00,8.5265321e+00,1.0303115e+01,1.2112727e+01,1.4249387e+01
6.1395198e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.7822514e+00,4.5004136e-01,1.7340692e+00,1.7556183e+00,1.3498962e+00,1.1529940e+00,1.4019643e+00,6.9970996e+00,8.6109499e+00,1.0383442e+01,1.2195728e+01,1.4328665e+01
6.3204210e+00,9.8226948e+00,8.9297225e+00,8.1855787e+00,1.7961141e+00,4.5209594e-01,1.6998419e+00,1.7301122e+00,1.3354753e+00,1.1423822e+00,1.3901104e+00,7.1620608e+00,8.7506152e+00,1.0505086e+01,1.2307249e+01,1.4435502e+01
6.3333100e+00,9.8226948e+00,8.9297225e+00,8.1855788e+00,1.7941964e+00,4.5215412e-01,1.6975621e+00,1.7281654e+00,1.3341681e+00,1.1421044e+00,1.3892204e+00,7.1740547e+00,8.7608329e+00,1.0513705e+01,1.2314676e+01,1.4442880e+01
6.3976092e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.7794872e+00,4.5220067e-01,1.6867375e+00,1.7183050e+00,1.3270875e+00,1.1414263e+00,1.3844591e+00,7.2345476e+00,8.8128996e+00,1.0557550e+01,1.2352017e+01,1.4480569e+01
6.5938918e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.6742925e+00,4.4943631e-01,1.6616400e+00,1.6877903e+00,1.2988304e+00,1.1480303e+00,1.3618038e+00,7.4276944e+00,8.9888681e+00,1.0709419e+01,1.2480940e+01,1.4623459e+01
6.6347330e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.6381151e+00,4.4805838e-01,1.6584993e+00,1.6816633e+00,1.2913954e+00,1.1517593e+00,1.3540874e+00,7.4699545e+00,9.0302660e+00,1.0746993e+01,1.2513948e+01,1.4664184e+01
6.7339682e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.5244155e+00,4.4275692e-01,1.6551946e+00,1.6678755e+00,1.2704878e+00,1.1661710e+00,1.3269428e+00,7.5768116e+00,9.1416246e+00,1.0853663e+01,1.2612394e+01,1.4795626e+01
6.7567435e+00,9.8226948e+00,8.9297225e+00,8.1855778e+00,1.4912165e+00,4.4099435e-01,1.6555080e+00,1.6650415e+00,1.2649894e+00,1.1712955e+00,1.3180170e+00,7.6023785e+00,9.1699653e+00,1.0882330e+01,1.2640301e+01,1.4836255e+01
6.7856893e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.4443473e+00,4.3833364e-01,1.6566221e+00,1.6616943e+00,1.2575624e+00,1.1792658e+00,1.3044916e+00,7.6355802e+00,9.2079179e+00,1.0921822e+01,1.2679916e+01,1.4896625e+01
6.8514772e+00,9.8226948e+00,8.9297225e+00,8.1855788e+00,1.3145518e+00,4.3016766e-01,1.6626791e+00,1.6554982e+00,1.2387327e+00,1.2066715e+00,1.2598424e+00,7.7145762e+00,9.3040214e+00,1.1027958e+01,1.2794054e+01,1.5091122e+01
7.0925569e+00,9.8226947e+00,8.9297225e+00,4.7682056e+00,1.0893504e+00,4.1905643e-01,1.6729615e+00,1.6327780e+00,1.2747973e+00,1.2303789e+00,1.0607505e+00,7.9856604e+00,9.6271012e+00,1.1435479e+01,1.3387093e+01,1.6150515e+01
7.1057905e+00,9.8226948e+00,8.9297225e+00,4.9537953e+00,1.0990318e+00,4.1926898e-01,1.6720678e+00,1.6335879e+00,1.2691097e+00,1.2274573e+00,1.0618813e+00,7.9982946e+00,9.6411113e+00,1.1451092e+01,1.3400396e+01,1.6161327e+01
7.1086425e+00,9.8226947e+00,8.9297225e+00,4.9980267e+00,1.1011663e+00,4.1931509e-01,1.6718677e+00,1.6337723e+00,1.2678162e+00,1.2268539e+00,1.0621705e+00,8.0010075e+00,9.6441132e+00,1.1454407e+01,1.3403110e+01,1.6163385e+01
7.1139626e+00,9.8226948e+00,8.9297225e+00,5.0830516e+00,1.1053183e+00,4.1939535e-01,1.6714886e+00,1.6341175e+00,1.2654087e+00,1.2256645e+00,1.0627849e+00,8.0060613e+00,9.6496978e+00,1.1460569e+01,1.3408126e+01,1.6166941e+01
7.3165500e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.2880317e+00,4.2489098e-01,1.6476901e+00,1.6344379e+00,1.2150983e+00,1.1679792e+00,1.0879093e+00,8.1911694e+00,9.8357721e+00,1.1657246e+01,1.3582961e+01,1.6249198e+01
7.4471848e+00,9.8226948e+00,8.9297225e+00,8.1855782e+00,1.3891730e+00,4.2947353e-01,1.6260092e+00,1.6229825e+00,1.2151950e+00,1.1326725e+00,1.0949554e+00,8.3069306e+00,9.9368318e+00,1.1756146e+01,1.3686641e+01,1.6300543e+01
7.4529294e+00,9.8226948e+00,8.9297225e+00,8.1855771e+00,1.3928595e+00,4.2964301e-01,1.6250353e+00,1.6224224e+00,1.2151011e+00,1.1314526e+00,1.0951728e+00,8.3120370e+00,9.9412096e+00,1.1760255e+01,1.3690734e+01,1.6302719e+01
7.5229168e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.4307033e+00,4.3155951e-01,1.6131744e+00,1.6152574e+00,1.2132822e+00,1.1189553e+00,1.0968459e+00,8.3744922e+00,9.9944398e+00,1.1809201e+01,1.3738284e+01,1.6330819e+01
7.5760540e+00,9.8226948e+00,8.9297225e+00,8.1855780e+00,1.4515940e+00,4.3275390e-01,1.6042904e+00,1.6094497e+00,1.2111542e+00,1.1118198e+00,1.0971764e+00,8.4223126e+00,1.0035010e+01,1.1845497e+01,1.3772289e+01,1.6353831e+01
7.6133470e+00,9.8226948e+00,8.9297225e+00,8.1855787e+00,1.4625552e+00,4.3345451e-01,1.5981825e+00,1.6052116e+00,1.2093100e+00,1.1077939e+00,1.0969892e+00,8.4561351e+00,1.0063720e+01,1.1870797e+01,1.3795469e+01,1.6370955e+01
7.7111603e+00,9.8226948e+00,8.9297225e+00,8.1855786e+00,1.4771770e+00,4.3481787e-01,1.5829201e+00,1.5935581e+00,1.2031462e+00,1.1006218e+00,1.0947266e+00,8.5460714e+00,1.0140570e+01,1.1937491e+01,1.3855049e+01,1.6421272e+01
7.7566890e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.4782674e+00,4.3522638e-01,1.5763160e+00,1.5879277e+00,1.1996783e+00,1.0985084e+00,1.0929042e+00,8.5886310e+00,1.0177415e+01,1.1969249e+01,1.3882932e+01,1.6447580e+01
7.7892355e+00,9.8226948e+00,8.9297225e+00,8.1855764e+00,1.4773278e+00,4.3543828e-01,1.5718367e+00,1.5838470e+00,1.1969856e+00,1.0973167e+00,1.0913261e+00,8.6193594e+00,1.0204291e+01,1.1992442e+01,1.3903213e+01,1.6467637e+01
7.8808270e+00,9.8226948e+00,8.9297225e+00,8.1855787e+00,1.4676964e+00,4.3573525e-01,1.5604867e+00,1.5722044e+00,1.1884498e+00,1.0951395e+00,1.0854902e+00,8.7073093e+00,1.0282782e+01,1.2060683e+01,1.3962866e+01,1.6530978e+01
8.0198940e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.4409986e+00,4.3544441e-01,1.5475671e+00,1.5546765e+00,1.1730567e+00,1.0928206e+00,1.0725875e+00,8.8454536e+00,1.0412223e+01,1.2176944e+01,1.4066523e+01,1.6651355e+01
8.0315080e+00,9.8226948e+00,8.9297225e+00,8.1855775e+00,1.4383601e+00,4.3540180e-01,1.5467529e+00,1.5532564e+00,1.1716540e+00,1.0926013e+00,1.0712441e+00,8.8572522e+00,1.0423688e+01,1.2187551e+01,1.4076193e+01,1.6663102e+01
8.0329779e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.4381945e+00,4.3539991e-01,1.5466560e+00,1.5530816e+00,1.1714858e+00,1.0925283e+00,1.0710911e+00,8.8587501e+00,1.0425155e+01,1.2188927e+01,1.4077467e+01,1.6664578e+01
8.1172007e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.4211339e+00,4.3504012e-01,1.5420687e+00,1.5432455e+00,1.1610699e+00,1.0896373e+00,1.0604304e+00,8.9454941e+00,1.0511730e+01,1.2271227e+01,1.4154208e+01,1.6758175e+01
8.1628405e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.4146738e+00,4.3491902e-01,1.5404481e+00,1.5383557e+00,1.1554356e+00,1.0867979e+00,1.0540520e+00,8.9932057e+00,1.0560977e+01,1.2319837e+01,1.4201032e+01,1.6815042e+01
8.2745079e+00,9.8226948e+00,8.9297225e+00,8.1855788e+00,1.4199426e+00,4.3531691e-01,1.5380241e+00,1.5281835e+00,1.1432303e+00,1.0730684e+00,1.0387307e+00,9.1106447e+00,1.0686031e+01,1.2449307e+01,1.4331411e+01,1.6965110e+01
8.2748683e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.4199879e+00,4.3533608e-01,1.5380165e+00,1.5281552e+00,1.1431966e+00,1.0730210e+00,1.0386661e+00,9.1110209e+00,1.0686435e+01,1.2449736e+01,1.4331856e+01,1.6965654e+01
8.3107382e+00,9.8226948e+00,8.9297225e+00,8.1855786e+00,1.4318903e+00,4.3578690e-01,1.5372791e+00,1.5254629e+00,1.1401862e+00,1.0658827e+00,1.0346261e+00,9.1484546e+00,1.0726885e+01,1.2493302e+01,1.4377469e+01,1.7013361e+01
8.3662413e+00,9.8226948e+00,8.9297225e+00,8.1855783e+00,1.4632501e+00,4.3685440e-01,1.5357069e+00,1.5217491e+00,1.1366690e+00,1.0520364e+00,1.0299744e+00,9.2056035e+00,1.0788442e+01,1.2560755e+01,1.4449458e+01,1.7082093e+01
8.4364738e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.5270534e+00,4.3872834e-01,1.5325323e+00,1.5175485e+00,1.1340992e+00,1.0304186e+00,1.0272872e+00,9.2762159e+00,1.0863254e+01,1.2643788e+01,1.4539582e+01,1.7155812e+01
8.4378197e+00,9.8226948e+00,8.9297225e+00,8.1855787e+00,1.5286028e+00,4.3877347e-01,1.5324577e+00,1.5174722e+00,1.1340708e+00,1.0299566e+00,1.0272747e+00,9.2775504e+00,1.0864650e+01,1.2645346e+01,1.4541284e+01,1.7157060e+01
8.4444134e+00,9.8226948e+00,8.9297225e+00,8.1855789e+00,1.5359739e+00,4.3896923e-01,1.5320765e+00,1.5170908e+00,1.1339212e+00,1.0277540e+00,1.0272084e+00,9.2840726e+00,1.0871451e+01,1.2652906e+01,1.4549527e+01,1.7163072e+01
8.4813245e+00,9.8226948e+00,8.9297225e+00,8.1855785e+00,1.5808567e+00,4.4016742e-01,1.5296934e+00,1.5149636e+00,1.1332921e+00,1.0151864e+00,1.0272086e+00,9.3202801e+00,1.0908835e+01,1.2694393e+01,1.4594785e+01,1.7194570e+01
8.4890707e+00,9.8226948e+00,8.9297225e+00,8.1855790e+00,1.5909274e+00,4.4043336e-01,1.5291380e+00,1.5145138e+00,1.1331943e+00,1.0125325e+00,1.0272791e+00,9.3278140e+00,1.0916528e+01,1.2702898e+01,1.4604050e+01,1.7200716e+01
