nmfreq,tauO,cO,omegaO
7.1057905e+00,3.9290779e-01,5.6057281e+00,1.0749973e+01
7.1086425e+00,3.9290779e-01,5.6049808e+00,1.0752540e+01
7.1139626e+00,3.9290779e-01,5.6035872e+00,1.0757330e+01
7.3165500e+00,3.9290779e-01,5.5509907e+00,1.0939853e+01
7.4471848e+00,3.9290779e-01,5.5175561e+00,1.1057695e+01
7.4529294e+00,3.9290779e-01,5.5160944e+00,1.1062879e+01
7.5229168e+00,3.9290779e-01,5.4983438e+00,1.1126062e+01
7.5760540e+00,3.9290779e-01,5.4849376e+00,1.1174053e+01
7.6133470e+00,3.9290779e-01,5.4755650e+00,1.1207746e+01
7.7111603e+00,3.9290779e-01,5.4511233e+00,1.1296126e+01
7.7566890e+00,3.9290779e-01,5.4398161e+00,1.1337304e+01
7.7892355e+00,3.9290779e-01,5.4317601e+00,1.1366774e+01
7.8808270e+00,3.9290779e-01,5.4092077e+00,1.1449663e+01
8.0198940e+00,3.9290779e-01,5.3752993e+00,1.1575614e+01
8.0315080e+00,3.9290779e-01,5.3724855e+00,1.1586137e+01
8.0329779e+00,3.9290779e-01,5.3721296e+00,1.1587469e+01
8.1172007e+00,3.9290779e-01,5.3518099e+00,1.1663810e+01
8.1628405e+00,3.9290779e-01,5.3408588e+00,1.1705164e+01
8.2745079e+00,3.9290779e-01,5.3142428e+00,1.1806501e+01
8.2748683e+00,3.9290779e-01,5.3141573e+00,1.1806828e+01
8.3107382e+00,3.9290779e-01,5.3056610e+00,1.1839385e+01
8.3662413e+00,3.9290779e-01,5.2925647e+00,1.1889776e+01
8.4364738e+00,3.9290779e-01,5.2760803e+00,1.1953565e+01
8.4378197e+00,3.9290779e-01,5.2757653e+00,1.1954788e+01
8.4444134e+00,3.9290779e-01,5.2742229e+00,1.1960778e+01
8.4813245e+00,3.9290779e-01,5.2656041e+00,1.1994316e+01
8.4890707e+00,3.9290779e-01,5.2637987e+00,1.2001355e+01
8.5198707e+00,3.9290779e-01,5.2566320e+00,1.2029347e+01
8.5301457e+00,3.9290779e-01,5.2542452e+00,1.2038672e+01
8.6514624e+00,3.9290779e-01,5.2262199e+00,1.2148999e+01
8.7467129e+00,3.9290779e-01,5.2044147e+00,1.2235666e+01
8.7845534e+00,3.9290779e-01,5.1957999e+00,1.2270081e+01
8.8485894e+00,3.9290779e-01,5.1812836e+00,1.2328409e+01
8.8659304e+00,3.9290779e-01,5.1773659e+00,1.2344201e+01
8.8800275e+00,3.9290779e-01,5.1741851e+00,1.2357030e+01
8.9374761e+00,3.9290779e-01,5.1612616e+00,1.2409368e+01
8.9566529e+00,3.9290779e-01,5.1569613e+00,1.2426839e+01
9.0475858e+00,3.9290779e-01,5.1366628e+00,1.2509683e+01
9.2314485e+00,3.9290779e-01,5.0960844e+00,1.2677393e+01
9.2694240e+00,3.9290779e-01,5.0877795e+00,1.2712023e+01
9.3387703e+00,3.9290779e-01,5.0726814e+00,1.2775332e+01
9.5143152e+00,3.9290779e-01,5.0348441e+00,1.2935689e+01
9.5920681e+00,3.9290779e-01,5.0182583e+00,1.3006751e+01
9.5964139e+00,3.9290779e-01,5.0173344e+00,1.3010724e+01
9.6199546e+00,3.9290779e-01,5.0123353e+00,1.3032244e+01
9.8908377e+00,3.9290779e-01,4.9554959e+00,1.3280053e+01
9.9295797e+00,3.9290779e-01,4.9474684e+00,1.3315521e+01
1.0151129e+01,3.9290779e-01,4.9020424e+00,1.3518482e+01
1.0243170e+01,3.9290779e-01,4.8834079e+00,1.3602864e+01
1.0400551e+01,3.9290779e-01,4.8518618e+00,1.3747209e+01
1.0532084e+01,3.9290779e-01,4.8257998e+00,1.3867962e+01
1.0638835e+01,3.9290779e-01,4.8048478e+00,1.3966003e+01
1.0795624e+01,3.9290779e-01,4.7743951e+00,1.4110072e+01
1.0865727e+01,3.9290779e-01,4.7609010e+00,1.4174542e+01
1.1033158e+01,3.9290779e-01,4.7289727e+00,1.4328570e+01
1.1080984e+01,3.9290779e-01,4.7199294e+00,1.4372590e+01
1.1244111e+01,3.9290779e-01,4.6893378e+00,1.4522802e+01
1.1284375e+01,3.9290779e-01,4.6818469e+00,1.4559896e+01
1.1427977e+01,3.9290779e-01,4.6553210e+00,1.4692245e+01
1.1475683e+01,3.9290779e-01,4.6465742e+00,1.4736232e+01
1.1584311e+01,3.9290779e-01,4.6267775e+00,1.4836427e+01
1.1654702e+01,3.9290779e-01,4.6140379e+00,1.4901365e+01
1.1712738e+01,3.9290779e-01,4.6035863e+00,1.4954948e+01
1.1812948e+01,3.9290779e-01,4.5856492e+00,1.5047475e+01
1.1821240e+01,3.9290779e-01,4.5841710e+00,1.5055134e+01
1.1884699e+01,3.9290779e-01,4.5728907e+00,1.5113751e+01
1.1927819e+01,3.9290779e-01,4.5652569e+00,1.5153592e+01
1.1942204e+01,3.9290779e-01,4.5627159e+00,1.5166884e+01
1.1975121e+01,3.9290779e-01,4.5569118e+00,1.5197290e+01
1.2116178e+01,3.9290779e-01,4.5322045e+00,1.5327714e+01
1.2244261e+01,3.9290779e-01,4.5099984e+00,1.5446200e+01
1.2359232e+01,3.9290779e-01,4.4902486e+00,1.5552614e+01
1.2460969e+01,3.9290779e-01,4.4729148e+00,1.5646823e+01
1.2549362e+01,3.9290779e-01,4.4579621e+00,1.5728711e+01
1.2624317e+01,3.9290779e-01,4.4453602e+00,1.5798175e+01
1.2685754e+01,3.9290779e-01,4.4350839e+00,1.5855128e+01
1.2733606e+01,3.9290779e-01,4.4271124e+00,1.5899500e+01
1.2767823e+01,3.9290779e-01,4.4214299e+00,1.5931233e+01
1.2788368e+01,3.9290779e-01,4.4180249e+00,1.5950279e+01
1.2795218e+01,3.9290779e-01,4.4168919e+00,1.5956644e+01
