nmfreq,tauO,tauO,cO,cO,omegaO,omegaO
5.4114671e+00,7.3578126e-01,3.0648238e-01,3.8629325e+00,5.0972372e+00,7.8147720e+00,1.1767588e+01
5.4524648e+00,7.3649878e-01,3.0663322e-01,3.8546272e+00,5.0857902e+00,7.8526766e+00,1.1802800e+01
5.6295160e+00,7.3857389e-01,3.0724091e-01,3.8220251e+00,5.0348928e+00,8.0178416e+00,1.1958266e+01
5.6591804e+00,7.3871077e-01,3.0733632e-01,3.8172975e+00,5.0259501e+00,8.0459134e+00,1.1985131e+01
5.7284957e+00,7.3886562e-01,3.0753450e-01,3.8068218e+00,5.0048403e+00,8.1119028e+00,1.2048699e+01
5.8419266e+00,7.3914117e-01,3.0780189e-01,3.7898694e+00,4.9706441e+00,8.2203262e+00,1.2153221e+01
5.9055316e+00,7.3946549e-01,3.0795628e-01,3.7800432e+00,4.9518770e+00,8.2809540e+00,1.2211516e+01
6.0316242e+00,7.4090775e-01,3.0825929e-01,3.7581916e+00,4.9168877e+00,8.3997370e+00,1.2324274e+01
6.0317238e+00,7.4092800e-01,3.0825003e-01,3.7580867e+00,4.9169527e+00,8.3998244e+00,1.2324308e+01
6.1395198e+00,7.4273772e-01,3.0853578e-01,3.7376719e+00,4.8887537e+00,8.5000204e+00,1.2418315e+01
6.3204210e+00,7.4535095e-01,3.0899453e-01,3.7045684e+00,4.8416888e+00,8.6681543e+00,1.2576778e+01
6.3333100e+00,7.4547640e-01,3.0901796e-01,3.7024000e+00,4.8382625e+00,8.6802568e+00,1.2588304e+01
6.3976092e+00,7.4586763e-01,3.0915785e-01,3.6923345e+00,4.8206573e+00,8.7408973e+00,1.2646580e+01
6.5938918e+00,7.4616611e-01,3.0946859e-01,3.6649185e+00,4.7655629e+00,8.9283492e+00,1.2828955e+01
6.6347330e+00,7.4624568e-01,3.0952616e-01,3.6592897e+00,4.7542145e+00,8.9674325e+00,1.2867064e+01
6.7339682e+00,7.4675050e-01,3.0966015e-01,3.6447822e+00,4.7274886e+00,9.0619341e+00,1.2958599e+01
6.7567435e+00,7.4693460e-01,3.0968614e-01,3.6412302e+00,4.7215984e+00,9.0835089e+00,1.2979404e+01
6.7856893e+00,7.4724421e-01,3.0974202e-01,3.6365437e+00,4.7141704e+00,9.1107486e+00,1.3005388e+01
6.8514772e+00,7.4775071e-01,3.0983490e-01,3.6264934e+00,4.6970994e+00,9.1730010e+00,1.3065529e+01
7.0925569e+00,7.4926716e-01,3.1014588e-01,3.5907463e+00,4.6350345e+00,9.4013209e+00,1.3286539e+01
7.1057905e+00,7.4933875e-01,3.1018109e-01,3.5888269e+00,4.6316027e+00,9.4138020e+00,1.3298561e+01
7.1086425e+00,7.4938167e-01,3.1018369e-01,3.5883133e+00,4.6309514e+00,9.4164623e+00,1.3301053e+01
7.1139626e+00,7.4927783e-01,3.1017761e-01,3.5880031e+00,4.6292784e+00,9.4217915e+00,1.3306658e+01
7.3165500e+00,7.4925331e-01,3.1032743e-01,3.5624954e+00,4.5755416e+00,9.6163481e+00,1.3498260e+01
7.4471848e+00,7.4931514e-01,3.1038322e-01,3.5461591e+00,4.5415521e+00,9.7419634e+00,1.3622112e+01
7.4529294e+00,7.4933022e-01,3.1038571e-01,3.5454069e+00,4.5400975e+00,9.7474662e+00,1.3627521e+01
7.5229168e+00,7.4935496e-01,3.1043013e-01,3.5367449e+00,4.5220259e+00,9.8146829e+00,1.3693896e+01
7.5760540e+00,7.4936007e-01,3.1043545e-01,3.5302505e+00,4.5083965e+00,9.8658735e+00,1.3744503e+01
7.6133470e+00,7.4929882e-01,3.1044630e-01,3.5258949e+00,4.4987164e+00,9.9018625e+00,1.3780241e+01
7.7111603e+00,7.4903078e-01,3.1046136e-01,3.5148817e+00,4.4732382e+00,9.9965353e+00,1.3874595e+01
7.7566890e+00,7.4884344e-01,3.1045543e-01,3.5100078e+00,4.4613045e+00,1.0040801e+01,1.3918933e+01
7.7892355e+00,7.4873925e-01,3.1044959e-01,3.5064507e+00,4.4528657e+00,1.0072420e+01,1.3950527e+01
7.8808270e+00,7.4848896e-01,3.1042499e-01,3.4964618e+00,4.4292737e+00,1.0161455e+01,1.4039600e+01
8.0198940e+00,7.4869462e-01,3.1039002e-01,3.4798815e+00,4.3949730e+00,1.0295812e+01,1.4173036e+01
8.0315080e+00,7.4873094e-01,3.1039040e-01,3.4784559e+00,4.3921591e+00,1.0306986e+01,1.4184118e+01
8.0329779e+00,7.4877105e-01,3.1037409e-01,3.4781672e+00,4.3919142e+00,1.0308416e+01,1.4185419e+01
8.1172007e+00,7.4927935e-01,3.1037334e-01,3.4670815e+00,4.3722195e+00,1.0388999e+01,1.4264683e+01
8.1628405e+00,7.4958405e-01,3.1036719e-01,3.4610468e+00,4.3616543e+00,1.0432649e+01,1.4307576e+01
8.2745079e+00,7.5027329e-01,3.1038914e-01,3.4463397e+00,4.3359816e+00,1.0539187e+01,1.4412258e+01
8.2748683e+00,7.5026321e-01,3.1037784e-01,3.4463293e+00,4.3358940e+00,1.0539590e+01,1.4412687e+01
8.3107382e+00,7.5034670e-01,3.1033910e-01,3.4420868e+00,4.3274447e+00,1.0574246e+01,1.4447253e+01
8.3662413e+00,7.5044165e-01,3.1031930e-01,3.4355729e+00,4.3143233e+00,1.0627728e+01,1.4500504e+01
8.4364738e+00,7.5043057e-01,3.1028035e-01,3.4277909e+00,4.2975086e+00,1.0695728e+01,1.4568618e+01
8.4378197e+00,7.5045300e-01,3.1026996e-01,3.4275530e+00,4.2972803e+00,1.0697015e+01,1.4569832e+01
8.4444134e+00,7.5050043e-01,3.1028652e-01,3.4266735e+00,4.2957743e+00,1.0703257e+01,1.4575863e+01
8.4813245e+00,7.5042326e-01,3.1024027e-01,3.4228836e+00,4.2868157e+00,1.0739273e+01,1.4612296e+01
8.4890707e+00,7.5043957e-01,3.1021602e-01,3.4219966e+00,4.2850369e+00,1.0746847e+01,1.4619865e+01
8.5198707e+00,7.5052381e-01,3.1021249e-01,3.4183573e+00,4.2778879e+00,1.0776528e+01,1.4649334e+01
8.5301457e+00,7.5044507e-01,3.1019101e-01,3.4175232e+00,4.2752572e+00,1.0786702e+01,1.4659884e+01
8.6514624e+00,7.5098725e-01,3.1006033e-01,3.4030784e+00,4.2476746e+00,1.0904009e+01,1.4776714e+01
8.7467129e+00,7.5201525e-01,3.1000555e-01,3.3902342e+00,4.2273649e+00,1.0995012e+01,1.4866165e+01
8.7845534e+00,7.5257470e-01,3.0999594e-01,3.3847252e+00,4.2196494e+00,1.1030847e+01,1.4900979e+01
8.8485894e+00,7.5368101e-01,3.0997244e-01,3.3749355e+00,4.2071004e+00,1.1091196e+01,1.4959332e+01
8.8659304e+00,7.5398184e-01,3.0996939e-01,3.3722937e+00,4.2037084e+00,1.1107510e+01,1.4975102e+01
8.8800275e+00,7.5421605e-01,3.0998032e-01,3.3701916e+00,4.2008840e+00,1.1120756e+01,1.4987929e+01
8.9374761e+00,7.5525966e-01,3.0996477e-01,3.3612636e+00,4.1898786e+00,1.1174676e+01,1.5039855e+01
8.9566529e+00,7.5566036e-01,3.0998602e-01,3.3581167e+00,4.1862948e+00,1.1192494e+01,1.5056753e+01
9.0475858e+00,7.5692903e-01,3.0993729e-01,3.3451599e+00,4.1682544e+00,1.1278442e+01,1.5140667e+01
9.2314485e+00,7.5880551e-01,3.0980164e-01,3.3210676e+00,4.1308797e+00,1.1453526e+01,1.5313281e+01
9.2694240e+00,7.5914506e-01,3.0977250e-01,3.3163585e+00,4.1230289e+00,1.1489883e+01,1.5349325e+01
9.3387703e+00,7.5993084e-01,3.0970126e-01,3.3073583e+00,4.1091827e+00,1.1556119e+01,1.5414802e+01
9.5143152e+00,7.6313659e-01,3.0957393e-01,3.2817517e+00,4.0767358e+00,1.1721898e+01,1.5576045e+01
9.5920681e+00,7.6505904e-01,3.0957002e-01,3.2691626e+00,4.0634843e+00,1.1794296e+01,1.5645174e+01
9.5964139e+00,7.6514144e-01,3.0955365e-01,3.2685235e+00,4.0627429e+00,1.1798405e+01,1.5649224e+01
9.6199546e+00,7.6578358e-01,3.0957820e-01,3.2645373e+00,4.0588431e+00,1.1820132e+01,1.5669669e+01
9.8908377e+00,7.7162978e-01,3.0951758e-01,3.2230971e+00,4.0124520e+00,1.2072801e+01,1.5913174e+01
9.9295797e+00,7.7222982e-01,3.0949946e-01,3.2178505e+00,4.0054591e+00,1.2109310e+01,1.5949010e+01
1.0151129e+01,7.7608620e-01,3.0933361e-01,3.1874479e+00,3.9665268e+00,1.2318293e+01,1.6153708e+01
1.0243170e+01,7.7822516e-01,3.0928625e-01,3.1737727e+00,3.9514439e+00,1.2404420e+01,1.6237020e+01
1.0400551e+01,7.8246683e-01,3.0928991e-01,3.1490520e+00,3.9270405e+00,1.2550329e+01,1.6376600e+01
1.0532084e+01,7.8586329e-01,3.0930493e-01,3.1288346e+00,3.9067634e+00,1.2672162e+01,1.6493431e+01
1.0638835e+01,7.8817250e-01,3.0930329e-01,3.1136190e+00,3.8897157e+00,1.2771625e+01,1.6589981e+01
1.0795624e+01,7.9116663e-01,3.0924063e-01,3.0925764e+00,3.8642352e+00,1.2918628e+01,1.6734061e+01
1.0865727e+01,7.9256823e-01,3.0919377e-01,3.0831547e+00,3.8530604e+00,1.2984408e+01,1.6798524e+01
1.1033158e+01,7.9625921e-01,3.0916029e-01,3.0601639e+00,3.8270035e+00,1.3140908e+01,1.6951153e+01
1.1080984e+01,7.9740314e-01,3.0914318e-01,3.0534185e+00,3.8198517e+00,1.3185472e+01,1.6994490e+01
1.1244111e+01,8.0118399e-01,3.0917660e-01,3.0308342e+00,3.7952692e+00,1.3337313e+01,1.7142014e+01
1.1284375e+01,8.0195591e-01,3.0913659e-01,3.0257110e+00,3.7890437e+00,1.3375120e+01,1.7179437e+01
1.1427977e+01,8.0469401e-01,3.0910623e-01,3.0074663e+00,3.7668693e+00,1.3509654e+01,1.7312021e+01
1.1475683e+01,8.0559110e-01,3.0911614e-01,3.0014967e+00,3.7594890e+00,1.3554345e+01,1.7356132e+01
1.1584311e+01,8.0745942e-01,3.0906802e-01,2.9883776e+00,3.7426200e+00,1.3656499e+01,1.7457528e+01
1.1654702e+01,8.0869500e-01,3.0904066e-01,2.9798960e+00,3.7317954e+00,1.3722680e+01,1.7523229e+01
1.1712738e+01,8.0980448e-01,3.0904817e-01,2.9726961e+00,3.7230430e+00,1.3777055e+01,1.7576777e+01
1.1812948e+01,8.1137428e-01,3.0898549e-01,2.9612091e+00,3.7075225e+00,1.3871560e+01,1.7671385e+01
1.1821240e+01,8.1150940e-01,3.0898023e-01,2.9602505e+00,3.7062525e+00,1.3879379e+01,1.7679195e+01
1.1884699e+01,8.1250567e-01,3.0895142e-01,2.9529947e+00,3.6964989e+00,1.3939201e+01,1.7738977e+01
1.1927819e+01,8.1313759e-01,3.0894590e-01,2.9481838e+00,3.6897894e+00,1.3979862e+01,1.7779674e+01
1.1942204e+01,8.1335003e-01,3.0892846e-01,2.9465830e+00,3.6875970e+00,1.3993477e+01,1.7793402e+01
1.1975121e+01,8.1382937e-01,3.0891461e-01,2.9429253e+00,3.6825274e+00,1.4024545e+01,1.7824582e+01
1.2116178e+01,8.1574998e-01,3.0884759e-01,2.9277383e+00,3.6606444e+00,1.4157984e+01,1.7958996e+01
1.2244261e+01,8.1763772e-01,3.0881242e-01,2.9137463e+00,3.6412062e+00,1.4278947e+01,1.8080370e+01
1.2359232e+01,8.1902376e-01,3.0876015e-01,2.9020316e+00,3.6234253e+00,1.4387916e+01,1.8191031e+01
1.2460969e+01,8.2019269e-01,3.0871351e-01,2.8918267e+00,3.6077693e+00,1.4484412e+01,1.8289080e+01
1.2549362e+01,8.2121151e-01,3.0869638e-01,2.8829631e+00,3.5942672e+00,1.4568214e+01,1.8373994e+01
1.2624317e+01,8.2172653e-01,3.0860836e-01,2.8763307e+00,3.5823888e+00,1.4639912e+01,1.8448132e+01
1.2685754e+01,8.2219285e-01,3.0858594e-01,2.8708079e+00,3.5726967e+00,1.4698513e+01,1.8508451e+01
1.2733606e+01,8.2260982e-01,3.0855331e-01,2.8664101e+00,3.5652926e+00,1.4744160e+01,1.8555296e+01
1.2767823e+01,8.2287697e-01,3.0853527e-01,2.8633578e+00,3.5599449e+00,1.4776826e+01,1.8588987e+01
1.2788368e+01,8.2309117e-01,3.0850998e-01,2.8614062e+00,3.5568569e+00,1.4796427e+01,1.8609013e+01
1.2795218e+01,8.2327932e-01,3.0851111e-01,2.8605447e+00,3.5559766e+00,1.4802838e+01,1.8615304e+01
